rank,name,establishment_means
species,Anolis sagrei,introduced
species,Alligator mississippiensis,native
species,Eudocimus albus,native
species,Ardea herodias,native
species,Anhinga anhinga,native
species,Ardea alba,native
species,Bidens alba,native
species,Sciurus carolinensis,native
species,Anolis carolinensis,native
species,Buteo lineatus,native
species,Egretta caerulea,native
species,Gopherus polyphemus,native
species,Osteopilus septentrionalis,introduced
species,Dione vanillae,NA
species,Pandion haliaetus,native
species,Quiscalus major,native
species,Romalea microptera,native
species,Egretta tricolor,native
species,Callicarpa americana,native
species,Mimus polyglottos,native
species,Iguana iguana,introduced
species,Leucophaeus atricilla,native
species,Gallinula galeata,native
species,Pelecanus occidentalis,native
species,Cairina moschata,introduced
species,Sabal palmetto,native
species,Cardinalis cardinalis,native
species,Tillandsia usneoides,native
species,Egretta thula,native
species,Danaus plexippus,NA
species,Anaxyrus terrestris,native
species,Melanerpes carolinus,native
species,Nannopterum auritum,native
species,Antigone canadensis,NA
species,Setophaga palmarum,native
species,Apis mellifera,introduced
species,Anartia jatrophae,NA
species,Coluber constrictor,native
species,Mycteria americana,native
species,Serenoa repens,native
species,Butorides virescens,native
species,Leiocephalus carinatus,introduced
species,Pleopeltis michauxiana,native
species,Erythemis simplicicollis,NA
species,Vitis rotundifolia,native
species,Zenaida macroura,native
species,Apalone ferox,NA
species,Richardia grandiflora,introduced
species,Coccoloba uvifera,native
species,Heliconius charithonia,NA
species,Aramus guarauna,native
species,Pachydiplax longipennis,NA
species,Agama picticauda,introduced
species,Quercus virginiana,native
species,Odocoileus virginianus,NA
species,Trichonephila clavipes,native
species,Parthenocissus quinquefolia,native
species,Pinus elliottii,native
species,Platalea ajaja,native
species,Coragyps atratus,native
species,Cathartes aura,native
species,Procyon lotor,native
species,Gasteracantha cancriformis,NA
species,Schinus terebinthifolia,introduced
species,Hemidactylus mabouia,introduced
species,Calidris alba,NA
species,Nyctanassa violacea,native
species,Tringa semipalmata,NA
species,Rhizophora mangle,native
species,Psychotria nervosa,native
species,Nerodia fasciata,native
species,Herpothallon rubrocinctum,native
species,Pontederia cordata,native
species,Cyanocitta cristata,native
species,Thalasseus maximus,NA
species,Haliaeetus leucocephalus,native
species,Hyla cinerea,native
species,Celithemis eponina,NA
species,Trachemys scripta,NA
species,Harmonia axyridis,introduced
species,Trichechus manatus,NA
species,Sylvilagus palustris,native
species,Cnidoscolus stimulosus,native
species,Agelaius phoeniceus,native
species,Arenaria interpres,native
species,Urena lobata,introduced
species,Sagittaria lancifolia,native
species,Morella cerifera,native
species,Setophaga coronata,native
species,Phyla nodiflora,native
species,Taxodium distichum,native
species,Helianthus debilis,native
species,Magnolia grandiflora,native
species,Spermacoce verticillata,introduced
species,Hamelia patens,native
species,Dendrocygna autumnalis,native
species,Dryocopus pileatus,native
species,Ardea ibis,native
species,Smilax auriculata,native
species,Erynnis horatius,NA
species,Junonia coenia,NA
species,Erythrina herbacea,native
species,Ilex cassine,native
species,Pseudemys nelsoni,native
species,Sphagneticola trilobata,introduced
species,Anas platyrhynchos,native
species,Nycticorax nycticorax,native
species,Tillandsia recurvata,native
species,Polioptila caerulea,native
species,Leucauge argyrobapta,NA
species,Camponotus floridanus,native
species,Conocarpus erectus,native
species,Porphyrio martinica,NA
species,Eumaeus atala,native
species,Zamia integrifolia,native
species,Cephalanthus occidentalis,native
species,Hylephila phyleus,NA
species,Cirsium horridulum,native
species,Lanius ludovicianus,native
species,Sayornis phoebe,native
species,Pseudemys peninsularis,endemic
species,Agkistrodon conanti,NA
species,Rhus copallinum,native
species,Catharanthus roseus,introduced
species,Terrapene carolina,NA
species,Drosera capillaris,native
species,Chrysobalanus icaco,native
species,Strix varia,NA
species,Acer rubrum,native
species,Larus delawarensis,native
species,Urbanus proteus,NA
species,Tillandsia fasciculata,native
species,Dumetella carolinensis,native
species,Momordica charantia,introduced
species,Hyla squirella,native
species,Lyonia lucida,native
species,Ilex glabra,native
species,Toxicodendron radicans,native
species,Pinus palustris,native
species,Liquidambar styraciflua,native
species,Ficus aurea,native
species,Pantherophis guttatus,NA
species,Eupatorium capillifolium,native
species,Erigeron quercifolius,native
species,Gaillardia pulchella,native
species,Plegadis falcinellus,NA
species,Dryobates pubescens,NA
species,Elanoides forficatus,native
species,Heraclides cresphontes,NA
species,Ischnura ramburii,NA
species,Euphorbia cyathophora,native
species,Hypericum tetrapetalum,native
species,Dasypus novemcinctus,NA
species,Eleutherodactylus planirostris,introduced
species,Thryothorus ludovicianus,native
species,Baccharis halimifolia,native
species,Orgyia detrita,NA
species,Hemiargus ceraunus,NA
species,Anolis cristatellus,introduced
species,Columba livia,introduced
species,Sylvilagus floridanus,NA
species,Pantherophis alleghaniensis,NA
species,Opuntia austrina,endemic
species,Vaccinium myrsinites,native
species,Erythrodiplax umbrata,NA
species,Anisomorpha buprestoides,native
species,Bursera simaruba,native
species,Nuphar advena,native
species,Phlebodium aureum,native
species,Streptopelia decaocto,introduced
species,Smilax bona-nox,native
species,Sialia sialis,NA
species,Quercus geminata,native
species,Podilymbus podiceps,native
species,Rhynchospora colorata,native
species,Chamaecrista fasciculata,native
species,Asclepias curassavica,introduced
species,Salvia lyrata,native
species,Fulica americana,native
species,Alopochen aegyptiaca,introduced
species,Danaus gilippus,NA
species,Pterocaulon pycnostachyum,native
species,Phyciodes phaon,NA
species,Passer domesticus,introduced
species,Sambucus canadensis,native
species,Quiscalus quiscula,native
species,Basiliscus vittatus,introduced
species,Senega lutea,native
species,Ambrosia artemisiifolia,native
species,Spatula discors,NA
species,Pteridium aquilinum,native
species,Coreopsis leavenworthii,native
species,Lithobates sphenocephalus,native
species,Avicennia germinans,native
species,Brachymesia gravida,NA
species,Emilia sonchifolia,introduced
species,Ilex vomitoria,native
species,Tillandsia utriculata,native
species,Asimina reticulata,endemic
species,Papilio polyxenes,NA
species,Nephrolepis cordifolia,introduced
species,Tradescantia ohiensis,native
species,Setophaga americana,native
species,Perithemis tenera,NA
species,Corvus ossifragus,native
species,Rynchops niger,native
species,Anadenobolus monilicornis,introduced
species,Solenopsis invicta,introduced
species,Dioscorea bulbifera,introduced
species,Ludwigia peruviana,introduced
species,Vigna luteola,NA
species,Ruellia caroliniensis,native
species,Mniotilta varia,native
species,Juniperus virginiana,native
species,Meleagris gallopavo,native
species,Desmodium incanum,introduced
species,Phoebis sennae,NA
species,Heterotheca subaxillaris,native
species,Rhinella marina,introduced
species,Telmatoblechnum serrulatum,native
species,Falco sparverius,native
species,Baeolophus bicolor,native
species,Physalia physalis,NA
species,Antheraea polyphemus,NA
species,Papilio troilus,NA
species,Phytolacca americana,native
species,Buchnera floridana,native
species,Anolis equestris,introduced
species,Papilio glaucus,NA
species,Megaceryle alcyon,native
species,Oxalis debilis,introduced
species,Agapostemon splendens,NA
species,Pluvialis squatarola,NA
species,Zachrysia provisoria,introduced
species,Chlorophyllum molybdites,NA
species,Crinum americanum,native
species,Mikania scandens,native
species,Setophaga pinus,native
species,Pelecanus erythrorhynchos,native
species,Eurema daira,NA
species,Anolis distichus,introduced
species,Pluchea odorata,native
species,Ascia monuste,NA
species,Prunus caroliniana,native
species,Aspidoscelis sexlineatus,native
species,Syntomeida epilais,NA
species,Passerina ciris,native
species,Gambusia holbrooki,NA
species,Pityopsis graminifolia,native
species,Automeris io,NA
species,Menemerus bivittatus,introduced
species,Cladonia evansii,NA
species,Sida ulmifolia,native
species,Zelus longipes,NA
species,Emilia fosbergii,introduced
species,Aphelocoma coerulescens,endemic
species,Limulus polyphemus,NA
species,Sceloporus undulatus,native
species,Ocypode quadrata,NA
species,Lyonia fruticosa,native
species,Pavo cristatus,introduced
species,Carphephorus corymbosus,native
species,Mimosa strigillosa,native
species,Halictus poeyi,NA
species,Quercus myrtifolia,native
species,Youngia japonica,introduced
species,Annona glabra,native
species,Ipomoea pes-caprae,native
species,Myiarchus crinitus,native
species,Sistrurus miliarius,native
species,Abrus precatorius,introduced
species,Lepidium virginicum,native
species,Papilio palamedes,NA
species,Trigoniulus corallinus,introduced
species,Balduina angustifolia,native
species,Erythrodiplax minuscula,NA
species,Felis catus,introduced
species,Leucauge argyra,NA
species,Ardisia crenata,introduced
species,Bombus impatiens,NA
species,Ruellia simplex,introduced
species,Centrosema virginianum,native
species,Acrostichum danaeifolium,native
species,Pinus clausa,native
species,Peucetia viridans,NA
species,Geothlypis trichas,native
species,Bombus pensylvanicus,NA
species,Lepomis macrochirus,NA
species,Senega rugelii,endemic
species,Lantana strigocamara,introduced
species,Libellula needhami,NA
species,Borrichia frutescens,native
species,Dorymyrmex bureni,native
species,Plecia nearctica,NA
species,Homo sapiens,NA
species,Pogonomyrmex badius,native
species,Diadophis punctatus,NA
species,Cocos nucifera,introduced
species,Rivina humilis,native
species,Choranthus capucinus,NA
species,Gallus gallus,introduced
species,Commelina diffusa,native
species,Quercus nigra,native
species,Commelina erecta,native
species,Argiope aurantia,NA
species,Toxostoma rufum,native
species,Passiflora incarnata,native
species,Egretta rufescens,NA
species,Acris gryllus,native
species,Plestiodon inexpectatus,NA
species,Geobalanus oblongifolius,native
species,Quercus laevis,native
species,Lepisosteus platyrhincus,NA
species,Gelsemium sempervirens,native
species,Salix caroliniana,native
species,Pluchea baccharis,native
species,Pontederia crassipes,introduced
species,Rubus trivialis,native
species,Charadrius vociferus,native
species,Columbina passerina,NA
species,Thamnophis saurita,NA
species,Oenothera simulans,native
species,Ludwigia octovalvis,native
species,Portulaca pilosa,native
species,Hexagonia hydnoides,NA
species,Uniola paniculata,native
species,Didelphis virginiana,native
species,Lygodesmia aphylla,native
species,Anisota pellucida,NA
species,Salvia coccinea,native
species,Encyclia tampensis,native
species,Hypericum cistifolium,native
species,Arilus cristatus,NA
species,Macroptilium lathyroides,introduced
species,Polites vibex,NA
species,Xylophanes tersa,NA
species,Ceratiola ericoides,native
species,Diospyros virginiana,native
species,Piloblephis rigida,native
species,Utetheisa ornatrix,NA
species,Erechtites hieraciifolius,native
species,Tillandsia setacea,native
species,Corvus brachyrhynchos,native
species,Codiaeum variegatum,introduced
species,Quercus laurifolia,native
species,Limenitis archippus,NA
species,Strombus pugilis,NA
species,Bejaria racemosa,native
species,Leptotes cassius,NA
