species,dist_to_deluca
Acacesia hamata,22538.8387317379
Acanthepeira stellata,7299.188971149565
Acanthocephala femorata,6294.947716402665
Acanthocephala terminalis,22027.113679173977
Acer rubrum,525.6989581488382
Achurum carinatum,4620.204039099574
Acris gryllus,6870.501909009993
Acronicta oblinita,6537.478479058029
Aeschynomene americana,36002.03598685778
Aethes triassumenta,175909.51290717442
Agapostemon splendens,6976.060410412827
Agelaius phoeniceus,392.5610228232681
Aletris lutea,754.2773950384474
Alligator mississippiensis,219.20307239276173
Alternanthera philoxeroides,23229.844853450828
Althos obscurator,57759.652869730155
Alypia wittfeldii,129.6539645906415
Amblytropidia mysteca,6991.302970768459
Ambrosia artemisiifolia,10163.204619166663
Ammannia latifolia,12818.261127009217
Ammodramus savannarum,4639.896570197796
Amphibolips murata,41578.39734461602
Amphicarpum muehlenbergianum,25960.6469840331
Amphiuma means,14266.730333745909
Anageshna primordialis,7033.064994858941
Anartia jatrophae,4346.192963331955
Anasaitis canosus,6944.469967475307
Anatherum brachystachyum,42404.27472917605
Anatherum campbellii,25070.733281039425
Anatherum capillipes,39758.7866109849
Anatherum cretaceum,47446.506719557714
Anatherum subtile,27925.8281382764
Anatherum tenuispatheum,6910.581822744286
Anatherum virginicum,40246.9179081924
Anatrytone logan,6368.136930449095
Anax junius,14773.77556612255
Anaxyrus quercicus,306.52333601690407
Ancyloxypha numitor,7587.985929481093
Anhinga anhinga,5929.337962426906
Anolis carolinensis,5647.060402113544
Anolis sagrei,607.7169634587578
Anomala innuba,36612.662468021736
Antheraea polyphemus,68.35283503976866
Anthidiellum perplexum,33556.9972496679
Antigone canadensis,46.165115500498175
Antrostomus carolinensis,18438.03254719218
Antrostomus vociferus,16809.292477861778
Apiomerus floridensis,38049.90024001816
Apis mellifera,4571.800253523933
Aptenopedes sphenarioides,6295.885136489252
Arctosa littoralis,27871.62608804496
Ardea alba,310.89798929046754
Ardea herodias,4124.213206487751
Ardea ibis,15.863458727840502
Argemone mexicana,8982.573136441391
Argiope aurantia,5390.647607955618
Argiope trifasciata,2185.2259162885753
Argyria lacteella,38963.18550326675
Argyria nummulalis,6537.8298119977935
Argyrostrotis quadrifilaris,7046.009452306179
Arigomphus pallidus,6870.500858700695
Aristida beyrichiana,7131.9060686032135
Aristida patula,44102.72509299452
Aristida purpurascens,40186.67478306249
Aristida spiciformis,7007.020017050889
Arnoglossum floridanum,24109.207055011997
Arphia granulata,6950.787793524149
Arthonia subdiffusa,76517.42879322478
Ascia monuste,6863.635664774026
Asclepias curassavica,1072.0997533241778
Asclepias pedicellata,5202.404469905963
Asemeia grandiflora,3340.8603949817357
Asiopus minimus,6870.500858700695
Aspidoscelis sexlineatus,7599.549467218924
Astraeus morganii,2849.7359948984845
Astrothelium aeneum,20715.12025202092
Atalopedes huron,5079.091941826096
Augochlora pura,34033.27832489739
Aureolaria pectinata,7650.766432684346
Automeris io,1060.435019995247
Axonopus furcatus,24047.653969134983
Azolla caroliniana,4478.010856607283
Azolla filiculoides,44886.55664725865
Baccharis halimifolia,3813.585170769887
Bacopa caroliniana,882.7738347426933
Bacopa monnieri,7058.900551841373
Baeolophus bicolor,9131.344095001694
Balduina angustifolia,8055.01813534006
Bartonia verna,6869.216523364422
Bejaria racemosa,1066.0767033193226
Belonocnema treatae,39136.12896216258
Bidens alba,3.4599806859411673
Bidens mitis,1713.497082928569
Bigelowia australis,4887.242261654041
Blastobasis glandulella,40185.286381213584
Bleptina caradrinalis,14605.465768153595
Bleptina flavivena,83344.6286547408
Boehmeria cylindrica,4386.196426569867
Bolbocerosoma hamatum,7242.33303557068
Bombus bimaculatus,36690.74997732665
Bombus griseocollis,8941.43988311739
Bombus impatiens,23480.654035967083
Brachypremna dispellens,11318.80864885724
Buchnera americana,70313.72019320009
Buchnera floridana,3508.3723151349677
Bulbostylis ciliatifolia,40315.30426094067
Bulimulus bonariensis,11371.612670957393
Burmannia biflora,19113.43333801194
Burnsius oileus,5073.0146672694045
Buteo jamaicensis,5877.516862154941
Buteo lineatus,2637.1400497940954
Calephelis virginiensis,231.7835170364108
Callicarpa americana,4198.453530977065
Callirhytis quercusventricosa,60608.20759759243
Callisia ornata,190.7137325213756
Callopistria floridensis,25864.714957311888
Calopadia fusca,34755.731348634734
Calopogon barbatus,3287.380655125886
Calopteron reticulatum,7028.27660629336
Calycopis cecrops,545.7159063945489
Camponotus castaneus,38534.49932220662
Camponotus floridanus,167.33558985514213
Camponotus planatus,12513.678992784517
Caracara plancus,427.0328983676882
Cardinalis cardinalis,6515.242195883751
Carex longii,16702.01097143646
Carex verrucosa,6363.93471778604
Carphephorus carnosus,2634.5020478525817
Carphephorus corymbosus,348.6100654885151
Carphephorus odoratissimus,7305.108155030011
Carphephorus paniculatus,6558.984664047498
Cassytha filiformis,9771.632032780117
Cathartes aura,4981.0875162899365
Cecropterus dorantes,6870.500858700695
Celithemis eponina,6263.991712793983
Celithemis fasciata,36305.104744132426
Celithemis ornata,5552.230764150052
Centella erecta,3.4599806859411673
Cephalanthus occidentalis,7647.510143391679
Ceratina floridana,7630.646828076949
Ceratopteris pteridoides,46466.27057564823
Chamaecrista fasciculata,6784.568383997134
Chaptalia tomentosa,337.11435965200263
Charops annulipes,176359.58406247362
Chauliodes rastricornis,11554.584796885782
Chauliognathus marginatus,6869.890707520913
Chicobolus spinigerus,4641.00641982777
Choranthus capucinus,6796.577155939901
Choristoneura obsoletana,19078.093410470352
Chortophaga australior,5855.5414525833985
Christella dentata,15215.909695549326
Chromolaena odorata,5534.755658307951
Chrysomela scripta,1644.419908548084
Chrysops divisus,44360.94595333346
Chrysopsis subulata,22427.61260468779
Cicinnus melsheimeri,14605.465768153595
Circus hudsonius,6006.553773407495
Cirsium horridulum,77.82587076389045
Cirsium nuttallii,210.53498520944004
Cissusa spadix,137794.2339092881
Cisthene striata,22030.068858216346
Cladium mariscus,6843.82752097216
Cladonia evansii,16341.443067129803
Cladonia floerkeana,100605.34897933935
Cladonia leporina,3.4599806859411673
Cladonia ramulosa,118868.8450169473
Cladonia rappii,35968.60910719093
Cladonia subradiata,34771.90588619825
Cladonia subtenuis,23178.34168201792
Clathrus columnatus,1130.344745729741
Cnidoscolus stimulosus,6147.368688429964
Coelorachis rugosa,18345.39740425689
Coelotanypus scapularis,44051.0898989537
Coleomegilla maculata,6960.381469261503
Coleophora xyridella,15129.63597019311
Colinus virginianus,834.4406773894223
Coluber constrictor,1443.2932812766292
Columba livia,6770.510568588207
Columbina passerina,1492.2403636481592
Commelina diffusa,6853.387346447163
Condylostylus longicornis,7102.201748719035
Coniocarpon rubrocinctum,36753.59581791364
Coragyps atratus,6767.1822515538515
Coreopsis floridana,6718.0006084415
Coreopsis leavenworthii,1349.1052798361522
Corthylio calendula,7264.754655329432
Corvus brachyrhynchos,5874.047818120884
Corvus ossifragus,30183.75301355735
Coryphaeschna ingens,6870.500858700695
Crambus quinquareatus,40170.52916804365
Crambus satrapellus,20131.2315164142
Crassocephalum crepidioides,10652.59010043108
Crematogaster parapilosa,6868.579263925218
Crematogaster pinicola,19065.008799757285
Crocanthemum corymbosum,2418.249996670784
Crotalaria rotundifolia,1399.1315515967426
Cryptocephalus obsoletus,7948.770101216195
Cryptothecia striata,39613.57740924672
Ctenium aromaticum,479.0152395871784
Cuerna costalis,37136.69993047576
Cuphea carthagenensis,5348.6359305765045
Cyanocitta cristata,3.4599806859411673
Cyanthillium cinereum,6235.865404950341
Cybister fimbriolatus,11563.469179746411
Cycloneda sanguinea,14286.491325071289
Cyclosorus interruptus,3.4599806859411673
Cydia ingens,22278.692405090987
Cydia marita,226943.70486642772
Cynodon dactylon,15265.475170318978
Cyperus blepharoleptos,18188.965427702016
Cyperus brevifolius,43478.84774647279
Cyperus croceus,23.84225261896176
Cyperus haspan,16965.558965589673
Cyperus hortensis,87512.3922455786
Cyperus lecontei,18782.941279130635
Cyperus odoratus,7298.790367041258
Cyperus polystachyos,28.27402188712024
Cyperus prolifer,6870.501909009993
